"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","96667","","","","0"
"2023-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","89566","","","","0"
"2002-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","58866","","","","0"
"2002-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","54210","","","","0"
"2002-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","53558","","","","0"
"2002-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","57369","","","","0"
"2003-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","58436","","","","0"
"2003-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","54891","","","","0"
"2003-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","53505","","","","0"
"2003-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","59753","","","","0"
"2004-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","61106","","","","0"
"2004-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","54892","","","","0"
"2004-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","52837","","","","0"
"2004-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","57996","","","","0"
"2005-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","63195","","","","0"
"2005-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","56183","","","","0"
"2005-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","53569","","","","0"
"2005-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","57614","","","","0"
"2006-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","58936","","","","0"
"2006-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","55796","","","","0"
"2006-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","54329","","","","0"
"2006-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","59472","","","","0"
"2007-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","63508","","","","0"
"2007-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","56884","","","","0"
"2007-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","55089","","","","0"
"2007-10","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","59941","","","","0"
"2008-01","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","62898","","","","0"
"2008-04","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","58768","","","","0"
"2008-07","Canada","2016A000011124","Deaths","Number","223","units","0","v77","1.2","55686","","","","0"
