REF_DATE,City,Immigrants,CPI_current,Adj_rent,Province,Net interprovincial migration,Net intraprovincial migration,Net non-permanent residents,Residual deviation,Net_International_Migration,Births,Deaths,Natural Growth,Population_Estimate,M_Income,Bachelor_Unit,One bedroom units,Three bedroom units,Two bedroom units,Crime severity index,Violent crime severity index,Average_Rent,Average_Rent_log,YoY_diff,Change_in_M_income,Labour force,Employment,Full-time employment,Part-time employment,Unemployment,Not in labour force,Unemployment rate,Participation rate,Employment rate,Vacancy_Rate,Housing starts,Housing under construction,Housing completions,Percentage,Percentage3,Imm_pop,Change_Vacancy,Change_UnEm,Change_Participation,Log_Adj_Rent,Chng_Log_AdjR
2012,Halifax,1714,121.7,995.4847987,Nova Scotia,-638,1386,1051,-2123,2146,4249,2718,1531,404376,72800,692,762.75,1168,940.5,75.95,94.39,890.8125,6.792133968,0.021440114,-6100,235.3,220.7,178.3,42.4,14.6,98.3,6.2,70.5,66.2,3,2754,3627,2156,0.004480917,0.004534047,0.004262897,0.6,0.1,-0.1,6.903229853,0.006539176
2013,Halifax,1708,122.8,1020.899837,Nova Scotia,-754,1417,306,-2146,1488,4093,2876,1217,405598,75200,705,763.75,1224.75,993.75,69.05,85.06,921.8125,6.826341841,0.034207873,2400,236.9,221.8,179.7,42.1,15.1,98.2,6.4,70.7,66.2,3.2,2439,2705,3357,0.004262897,0.004302684,0.004223792,0.2,0.2,0.2,6.928439711,0.025209857
2014,Halifax,2147,125.2,1018.325346,Nova Scotia,-875,1459,213,-2154,1917,3997,2881,1116,407061,81000,718.3333333,768.25,1271.25,992,66.81,75.13,937.4583333,6.843172312,0.016830472,5800,235.6,221.3,180.6,40.7,14.3,101.1,6.1,70,65.7,3.7,1757,2606,1850,0.004223792,0.004247974,0.005293419,0.5,-0.3,-0.7,6.925914739,-0.002524971
2015,Halifax,2043,126.6,1050.302791,Nova Scotia,-1162,1277,398,-2157,2018,4101,3121,980,408017,74400,733.3333333,844.5,1279.75,1053.25,65.06,83.59,977.7083333,6.885211398,0.042039085,-6600,233.5,218.9,181.3,37.6,14.6,104.8,6.3,69,64.7,3.3,2599,3526,1674,0.005293419,0.005309415,0.005018904,-0.4,0.2,-1,6.956833774,0.030919034
2016,Halifax,4469,128.4,1064.419782,Nova Scotia,104,1345,1644,-1922,5476,4005,3010,995,414015,69900,761,892.5,1294.25,1072,63.32,81.95,1004.9375,6.91268063,0.027469232,-4500,234.8,220.8,181.2,39.6,14,108.2,6,68.5,64.4,2.6,2305,3797,2028,0.005018904,0.005037007,0.010952975,-0.7,-0.3,-0.5,6.970185124,0.01335135
2017,Halifax,3584,130.4,1067.888548,Nova Scotia,1532,993,1040,NA,4329,3918,3075,843,421712,76600,781.6666667,865.75,1342.25,1106,66,88.84,1023.916667,6.931390422,0.018709793,6700,235.8,219.7,178.6,41,16.1,113.7,6.8,67.5,62.9,2.2,2752,4162,2380,0.010952975,0.010978699,0.008656691,-0.4,0.8,-1,6.973438658,0.003253534
2018,Halifax,4353,133.4,1086.458021,Nova Scotia,1456,1023,1175,NA,5045,3890,3233,657,429893,76800,814,902.75,1377.5,1168.5,67.47,96.63,1065.6875,6.97137541,0.039984988,200,243,228.3,187,41.3,14.8,113.8,6.1,68.1,64,1.5,2871,4787,2246,0.008656691,0.008783948,0.01032221,-0.7,-0.7,0.6,6.990678162,0.017239504
2019,Halifax,5411,136,1098.3125,Nova Scotia,1602,1034,1371,NA,6618,3915,3227,688,439835,73400,814,972.5,1399.5,1207.25,60.87,84.1,1098.3125,7.00153019,0.03015478,-3400,249.7,235.3,191.1,44.2,14.4,115.4,5.8,68.4,64.4,1,3143,5260,2668,0.01032221,0.010514112,0.012586853,-0.5,-0.3,0.3,7.00153019,0.010852028
2020,Halifax,5135,137,1134.42944,Nova Scotia,3227,1018,1194,NA,6145,3989,3304,685,450910,NA,867.3333333,987.5,1472,1244.25,62.03,84.7,1142.770833,7.041211148,0.039680958,NA,250.5,228.5,188.2,40.3,22,122.5,8.8,67.1,61.2,1.7,3249,5724,2776,0.012586853,0.012831032,0.011674833,0.7,3,-1.3,7.033885108,0.032354918
2021,Halifax,2835,141.6,1163.96775,Nova Scotia,5507,117,100,NA,2834,3828,3327,501,459869,NA,905.6666667,1087.666667,1581.5,1272.75,66.6,99.45,1211.895833,7.099941217,0.058730069,NA,260.5,240.8,198,42.8,19.7,120,7.6,68.5,63.3,1,3794,6569,2950,0.011674833,0.011944833,0.006287286,-0.7,-1.2,1.4,7.059589921,0.025704813
2022,Halifax,10710,151.2,1171.373457,Nova Scotia,8093,-124,1907,NA,12381,3980,3617,363,480582,NA,995.6666667,1088.75,1690.5,1434.25,72.19,104.19,1302.291667,7.171880812,0.071939595,NA,265.6,252.4,208.8,43.7,13.1,128,4.9,67.5,64.1,0.9,3387,6746,3061,0.006287286,0.006445599,0.023289241,-0.1,-2.7,-1,7.065932234,0.006342313
2002,Hamilton,4430,100,978.095,Ontario,64,2667,1074,-369,4215,7057,5022,2035,697790,NA,478,628,962.5,808.25,96.67,91.67,719.1875,6.578122103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,3803,1825,3621,NA,NA,NA,NA,NA,NA,6.885606802,NA
2003,Hamilton,3314,102.8,963.0577173,Ontario,152,2570,1428,-299,3362,7015,5170,1845,705420,NA,499,634.3333333,964.25,814.25,94.27,88.42,727.9583333,6.590243812,0.01212171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,3260,1747,3303,NA,NA,0.00474928,1.2,NA,NA,6.870113345,-0.015493457
2004,Hamilton,4028,104.7,959.8694683,Ontario,-464,2140,328,-199,3137,7339,5187,2152,712186,NA,511.3333333,642,974.75,827.75,81.82,81.37,738.9583333,6.605241537,0.014997725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,4093,2601,3233,0.00474928,NA,0.005710073,0.7,NA,NA,6.866797305,-0.00331604
2005,Hamilton,3804,107,928.0358255,Ontario,-755,1822,30,-56,2512,7273,5265,2008,717717,NA,494.3333333,648,961.75,816.5,84.08,88.9,730.1458333,6.593244286,-0.011997251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,3145,2910,2842,0.005710073,0.00577251,0.005341301,0.8,NA,NA,6.833070337,-0.033726968
2006,Hamilton,4248,109.1,906.4329361,Ontario,-1191,1769,-3748,-39,-788,7139,5276,1863,719331,85600,495.3333333,656.5,945.25,811.5,84.55,92.16,727.1458333,6.589127053,-0.004117232,NA,392.2,368.5,302.1,66.5,23.7,191.4,6,67.2,63.1,4.2,3043,2598,3347,0.005341301,0.005392532,0.005918767,0,NA,NA,6.809517046,-0.023553291
2007,Hamilton,3825,111.5,928.2914798,Ontario,-1122,902,-391,-1694,2408,7156,5605,1551,721376,85800,512,672.25,998.25,861.75,84.59,98.57,761.0625,6.634715483,0.04558843,200,393.2,369.3,296.6,72.7,23.8,195.1,6.1,66.8,62.8,3.5,3004,2293,3309,0.005918767,0.005964734,0.005317441,-0.7,0.1,-0.4,6.833345778,0.023828732
2008,Hamilton,3835,114.1,931.4241893,Ontario,-968,1265,1006,-1658,3825,7563,5738,1825,725665,80600,546,682.75,1015.25,881.75,77.75,88.72,781.4375,6.661135172,0.026419689,-5200,393.2,369.1,293.4,75.7,24.1,200.5,6.1,66.2,62.2,3.1,3529,3102,2717,0.005317441,0.005329399,0.005316229,-0.4,0,-0.6,6.836714801,0.003369023
2009,Hamilton,3663,114.4,914.0224359,Ontario,-994,1476,1580,-1614,4061,7424,5664,1760,730354,83300,518.6666667,678.25,1019.75,858.75,74.67,85.79,768.8541667,6.644901311,-0.016233861,2700,403.6,369.5,293.4,76.1,34.1,195.9,8.4,67.3,61.6,4,1860,2241,2721,0.005316229,0.005331343,0.005047784,0.9,2.3,1.1,6.817855118,-0.018859683
2010,Hamilton,3952,116.5,937.7482117,Ontario,-439,3149,401,-1593,3576,7604,5776,1828,736875,83100,532.6666667,699,1075,906.5,71.53,81.18,803.2916667,6.688717869,0.043816558,-200,399.5,368.7,293.5,75.2,30.8,206.9,7.7,65.9,60.8,3.6,3562,2613,3178,0.005047784,0.005077796,0.005411075,-0.4,-0.7,-1.4,6.843481482,0.025626364
2011,Hamilton,3454,119.9,939.5371143,Ontario,-492,2601,277,-1463,2765,7358,5688,1670,741956,82600,554,738.25,1111.5,909.5,64.91,74.89,828.3125,6.719390499,0.030672629,-500,400,374.3,296.7,77.6,25.8,212.3,6.5,65.3,61.1,3.4,2462,2354,2717,0.005411075,0.005446039,0.004687362,-0.2,-1.2,-0.6,6.845387322,0.00190584
2012,Hamilton,3624,121.7,934.5809367,Ontario,-577,3685,245,-1569,2404,7618,5839,1779,747678,77900,572,751,1102,920.25,61.12,62.87,836.3125,6.729002347,0.009611848,-4700,403.9,376.1,300.1,76,27.8,214.1,6.9,65.4,60.9,3.5,2969,2176,3169,0.004687362,0.004729214,0.004884387,0.1,0.4,0.1,6.840098233,-0.00528909
2013,Hamilton,3590,122.8,958.7649294,Ontario,-879,3491,-247,-1570,2298,7494,6062,1432,752450,76500,591.3333333,784.5,1130,957,55.53,60.49,865.7083333,6.763548054,0.034545707,-1400,398.7,372.6,292.2,80.4,26.1,223.7,6.5,64.1,59.9,3.4,2709,2527,2359,0.004884387,0.004918066,0.004801532,-0.1,-0.4,-1.3,6.865645924,0.025547692
2014,Hamilton,3378,125.2,959.6898296,Ontario,-773,3588,-427,-1545,1824,7620,6236,1384,756928,78700,595.6666667,791.5,1167,979.75,51.47,56.37,883.4791667,6.783867711,0.020319657,2200,402.1,378.1,304.1,74.1,24,224.3,6,64.2,60.4,2.1,2832,2731,2635,0.004801532,0.004838562,0.004489335,-1.3,-0.5,0.1,6.866610138,0.000964214
2015,Hamilton,2860,126.6,1012.413112,Ontario,-390,2946,228,-1465,1803,7777,6320,1457,761279,83500,613,856.5,1233.75,1066.5,51.39,55.7,942.4375,6.848469604,0.064601893,4800,402.3,380.8,311.9,68.9,21.5,228,5.3,63.8,60.4,3.4,2054,2042,2722,0.004489335,0.004517988,0.003778431,1.3,-0.7,-0.4,6.92009198,0.053481842
2016,Hamilton,4375,128.4,1032.158619,Ontario,2,3079,1015,-1193,4308,7771,6264,1507,768982,80900,682.6666667,913.5,1231.75,1070,54.29,66.73,974.4791667,6.88190314,0.033433536,-2600,405,380.6,304.2,76.4,24.4,231.2,6,63.7,59.8,3.8,3269,3227,2075,0.003778431,0.003800917,0.005746908,0.4,0.7,-0.1,6.939407635,0.019315655
2017,Hamilton,3294,130.4,1055.786043,Ontario,163,2543,2505,NA,4848,7593,6557,1036,777572,84800,656,940.25,1314.25,1138.75,60.22,76.95,1012.3125,6.919992597,0.038089456,3900,432.9,411.1,328.2,82.9,21.8,211.4,5,67.2,63.8,2.3,2893,3603,2508,0.005746908,0.005779942,0.004283585,-1.5,-1,3.5,6.962040833,0.022633198
2018,Hamilton,4178,133.4,1113.814343,Ontario,-249,1669,2278,NA,5387,7734,6899,835,785214,86500,815.3333333,997.75,1375.75,1181.25,58.25,67.44,1092.520833,6.996242996,0.0762504,1700,428.7,407.4,319.2,88.2,21.3,223.5,5,65.7,62.5,3.1,3616,4654,2504,0.004283585,0.004326929,0.005373136,0.8,0,-1.5,7.015545748,0.053504916
2019,Hamilton,4492,136,1136.229167,Ontario,27,2980,2669,NA,6248,7567,6626,941,795410,89500,826.6666667,1056.25,1413,1249,60.12,73.93,1136.229167,7.03547031,0.039227314,3000,433.3,414.8,332.5,82.3,18.5,226.9,4.3,65.6,62.8,3.9,3204,5296,2541,0.005373136,0.005433157,0.005720733,0.8,-0.7,-0.1,7.03547031,0.019924562
2020,Hamilton,4092,137,1188.407543,Ontario,-148,5107,1965,NA,5457,7731,7035,696,806522,NA,902.3333333,1125,1463.5,1297.75,55.77,76.98,1197.145833,7.08769553,0.05222522,NA,422.1,384.1,317,67,38,241.9,9,63.6,57.8,3.6,3431,5697,2971,0.005720733,0.005776957,0.005144517,-0.3,4.7,-2,7.08036949,0.04489918
2021,Hamilton,3763,141.6,1208.888889,Ontario,-1000,4277,-1932,NA,1318,7589,7310,279,811396,NA,935.6666667,1165.75,1559.25,1374,57.37,76.05,1258.666667,7.137808239,0.050112708,NA,440,409.6,327.3,82.4,30.3,227.2,6.9,66,61.4,2.6,4187,6881,3003,0.005144517,0.005211318,0.004665713,-1,-2.1,2.4,7.097456943,0.017087453
2022,Hamilton,7879,151.2,1176.62037,Ontario,-2578,4052,1827,NA,8736,7875,7642,233,821839,NA,954,1275.25,1566.75,1436.5,57.65,75.03,1308.125,7.176350093,0.038541855,NA,440.3,418.6,336.6,82,21.7,233.1,4.9,65.4,62.2,1.8,3530,7025,3163,0.004665713,0.004730894,0.009710425,-0.8,-2,-0.6,7.070401515,-0.027055428
2002,Kelowna,276,100,831.1866667,British Columbia,-28,2063,127,-170,18,1295,1347,-52,156041,NA,477.6666667,559,742.25,665.75,NA,NA,611.1666667,6.415369699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1591,1034,1331,NA,NA,NA,NA,NA,NA,6.722854399,NA
2003,Kelowna,207,102.8,824.3401427,British Columbia,829,2243,100,-140,-452,1326,1352,-26,158495,NA,482.6666667,575,747.75,687,NA,NA,623.1041667,6.434713707,0.019344008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2137,1491,1681,NA,NA,0.001326574,-1,NA,NA,6.714583239,-0.008271159
2004,Kelowna,387,104.7,825.9964979,British Columbia,1272,1487,40,-112,180,1359,1460,-101,161221,NA,467,588.3333333,777.75,710.5,NA,NA,635.8958333,6.455034766,0.020321059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2224,1935,1784,0.001326574,NA,0.002441717,0,NA,NA,6.716590534,0.002007294
2005,Kelowna,401,107,845.7367601,British Columbia,1209,1249,89,-80,251,1347,1432,-85,163765,NA,497,615.3333333,801.25,748,NA,NA,665.3958333,6.500382102,0.045347336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2755,2754,1936,0.002441717,0.002480117,0.002487269,0,NA,NA,6.740208153,0.023617619
2006,Kelowna,379,109.1,874.6975252,British Columbia,1547,1810,-131,-78,100,1445,1466,-21,167123,NA,524,633.5,858.5,790.75,142.05,100.94,701.6875,6.553488148,0.053106047,NA,85,79.9,63.8,16,5.2,46.8,6.1,64.5,60.6,1,2692,3083,2329,0.002487269,0.002530048,0.002314292,0,NA,NA,6.773878141,0.033669988
2007,Kelowna,457,111.5,939.1165919,British Columbia,2218,1184,204,-16,422,1542,1478,64,170995,NA,568,678.75,990.5,842.5,129.3,98.54,769.9375,6.646309343,0.092821195,NA,84.3,80.4,61.1,19.3,3.9,50.9,4.6,62.3,59.4,0,2805,3873,2015,0.002314292,0.00235081,0.002734513,-1,-1.5,-2.2,6.844939638,0.071061496
2008,Kelowna,612,114.1,1008.825592,British Columbia,2214,1093,386,-14,827,1577,1530,47,175162,NA,624,753.5,1054.25,953.75,125.98,109.67,846.375,6.740962524,0.094653181,NA,90.9,86.2,67.4,18.8,4.7,47.9,5.2,65.5,62.1,0.2,2257,2759,3142,0.002734513,0.002790584,0.003579052,0.2,0.6,3.2,6.916542153,0.071602515
2009,Kelowna,545,114.4,954.020979,British Columbia,1212,1040,513,-7,783,1653,1513,140,178330,NA,584,706.75,1031.25,888,121.8,104.51,802.5,6.687731855,-0.053230669,NA,95.6,87.1,66.5,20.6,8.5,46.2,8.9,67.4,61.4,2.9,657,1354,1942,0.003579052,0.003661974,0.003111405,2.7,3.7,1.9,6.860685662,-0.055856491
2010,Kelowna,641,116.5,943.6824034,British Columbia,1245,1049,166,-33,625,1741,1522,219,181435,NA,587,717.5,1041.75,887.25,112.45,95.88,808.375,6.69502606,0.007294205,NA,101.7,93.4,70,23.4,8.4,42.8,8.3,70.3,64.6,3.4,957,989,1453,0.003111405,0.003187228,0.00359446,0.5,-0.6,2.9,6.849789672,-0.010895989
2011,Kelowna,500,119.9,929.0450375,British Columbia,873,1086,-135,-26,192,1638,1579,59,183619,NA,586,712,1073.25,905,98.34,86.57,819.0625,6.708160394,0.013134334,NA,100.4,92.4,66.1,26.4,7.9,46.4,7.9,68.4,63,2.9,934,1043,1117,0.00359446,0.00365947,0.002755808,-0.5,-0.4,-1.9,6.834157217,-0.015632455
2012,Kelowna,598,121.7,938.2826623,British Columbia,452,1496,-140,486,50,1629,1595,34,186137,NA,592,732,1125,909.5,104.61,85.65,839.625,6.732955364,0.02479497,NA,99.3,92.7,68,24.7,6.5,49.6,6.5,66.7,62.3,3.9,836,925,971,0.002755808,0.002803791,0.003256744,1,-1.4,-1.7,6.844051249,0.009894032
2013,Kelowna,533,122.8,950.8509772,British Columbia,471,1464,246,479,568,1602,1591,11,189130,NA,606,730.75,1155.5,942,87.63,63.27,858.5625,6.755259479,0.022304115,NA,98.2,91.6,71.3,20.3,6.6,53.3,6.7,64.8,60.5,1.7,1013,965,974,0.003256744,0.003295946,0.002863482,-2.2,0.2,-1.9,6.857357349,0.0133061
2014,Kelowna,651,125.2,954.2132588,British Columbia,1612,1457,246,475,566,1629,1610,19,193259,NA,613,759.75,1190.5,950.5,88.6,59.3,878.4375,6.778144761,0.022885282,NA,99.1,93.5,71.8,21.7,5.6,55.8,5.7,64,60.4,0.9,1311,1225,1053,0.002863482,0.00290275,0.003442077,-0.8,-1,-0.8,6.860887188,0.003529839
2015,Kelowna,531,126.6,932.7172196,British Columbia,2595,1401,318,457,570,1704,1681,23,198305,NA,631,775.5,1084.25,982.25,98.6,72.12,868.25,6.766479692,-0.011665069,NA,103.1,96.6,76.6,20,6.5,56,6.3,64.8,60.7,0.7,1280,1383,1118,0.003442077,0.003497424,0.002747608,-0.2,0.6,0.8,6.838102068,-0.022785121
2016,Kelowna,722,128.4,1006.892523,British Columbia,2770,1238,839,466,1280,1715,1775,-60,203999,NA,710,816.25,1236,1040.25,98.34,63.2,950.625,6.857119663,0.090639971,NA,105.3,97,74.3,22.7,8.3,58.3,7.9,64.4,59.3,0.6,2196,1794,1783,0.002747608,0.002807593,0.003640856,-0.1,1.6,-0.4,6.914624157,0.07652209
2017,Kelowna,539,130.4,1099.111708,British Columbia,2169,1726,738,NA,990,1605,2013,-408,208476,NA,859,936.6666667,1295.75,1124,95.19,59.5,1053.854167,6.960209358,0.103089695,NA,112.8,106.3,80.1,26.2,6.4,54.9,5.7,67.3,63.4,0.2,3577,3875,1498,0.003640856,0.003735919,0.00264217,-0.4,-2.2,2.9,7.002257594,0.087633436
2018,Kelowna,726,133.4,1145.333583,British Columbia,1945,1536,1534,NA,1942,1756,1824,-68,213831,NA,890,1003,1373.25,1227.5,100.79,49.76,1123.4375,7.02414846,0.063939103,NA,114.5,109.2,84.3,24.9,5.3,57.8,4.6,66.5,63.4,1.9,2555,4098,2351,0.00264217,0.002718035,0.003482415,1.7,-1.1,-0.8,7.043451213,0.041193619
2019,Kelowna,835,136,1233.8125,British Columbia,1870,1549,1157,NA,1733,1563,1946,-383,218600,NA,968,1095,1550.25,1322,121.16,83.16,1233.8125,7.117864248,0.093715788,NA,118.4,113.4,86.6,26.8,4.9,58.2,4.1,67,64.2,2.7,2225,2903,3422,0.003482415,0.003558841,0.003904953,0.8,-0.5,0.5,7.117864248,0.074413035
2020,Kelowna,865,137,1285.154501,British Columbia,2185,1704,554,NA,1328,1687,1975,-288,223529,NA,1038,1144.666667,1665.25,1330.5,115.42,96.83,1294.604167,7.165960265,0.048096017,NA,116.3,108.1,84.2,23.9,8.3,64.2,7.1,64.4,59.9,2.1,1794,2479,2223,0.003904953,0.004005257,0.003956999,-0.6,3,-2.6,7.158634225,0.040769976
2021,Kelowna,686,141.6,1331.486582,British Columbia,3055,1809,372,NA,1064,1699,2153,-454,229003,NA,1020,1234.5,1857,1433.75,122.8,105.81,1386.3125,7.234402623,0.068442359,NA,115,108.5,84.1,24.4,6.5,69.1,5.7,62.5,58.9,0.6,3266,3583,2140,0.003956999,0.004045251,0.003068953,-1.5,-1.4,-1.9,7.194051328,0.035417103
2022,Kelowna,2021,151.2,1403.287037,British Columbia,2770,1719,590,NA,2553,1697,2269,-572,235473,NA,1106,1340.25,2192,1602.25,128.02,107.4,1560.125,7.352521225,0.118118602,NA,115,109.6,86.1,23.5,5.4,73.6,4.7,61,58.1,1.2,3382,4565,2392,0.003068953,0.003138152,0.008825212,0.6,-1,-1.5,7.246572647,0.052521319
2002,Kingston,486,100,904.0033333,Ontario,503,772,130,365,262,1404,1271,133,154796,NA,477.3333333,604,848.5,729,82.42,68.83,664.7083333,6.499348348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,810,285,843,NA,NA,NA,NA,NA,NA,6.806833048,NA
2003,Kingston,385,102.8,926.8417639,Ontario,433,523,173,401,70,1330,1253,77,156300,NA,504.3333333,631.3333333,898,768.6666667,85.67,70.18,700.5833333,6.551913321,0.052564973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1131,578,837,NA,NA,0.002487144,0.8,NA,NA,6.831782854,0.024949806
2004,Kingston,451,104.7,932.3479784,Ontario,-49,271,38,438,102,1327,1256,71,157133,NA,513.3333333,650,921.75,786,82.96,66.65,717.7708333,6.576150344,0.024237023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,872,671,777,0.002487144,NA,0.002885477,0.5,NA,NA,6.837706112,0.005923258
2005,Kingston,414,107,941.911215,Ontario,-212,-155,2,521,-25,1379,1294,85,157347,NA,522.6666667,662.6666667,971.25,807.6666667,83.14,73.64,741.0625,6.608084967,0.031934623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,683,262,1086,0.002885477,0.002913512,0.002634711,-0.6,NA,NA,6.847911018,0.010204906
2006,Kingston,366,109.1,958.8924534,Ontario,-164,-285,745,559,634,1411,1288,123,158214,66800,552.6666667,695,1016,813.25,79.22,69.09,769.2291667,6.645388931,0.037303964,NA,82.8,77.5,60.3,17.2,5.3,43.3,6.4,65.7,61.5,2.1,968,592,631,0.002634711,0.002648752,0.002326069,0.4,NA,NA,6.865778924,0.017867906
2007,Kingston,378,111.5,971.1345291,Ontario,105,138,21,131,119,1520,1378,142,158849,69200,562,709.5,1076.5,836.75,70.5,60.67,796.1875,6.679834711,0.03444578,2400,83.2,78.6,61.4,17.2,4.6,43.7,5.5,65.6,61.9,3.3,880,694,776,0.002326069,0.002329237,0.002389169,1.2,-0.9,-0.1,6.878465006,0.012686082
2008,Kingston,461,114.1,994.5968449,Ontario,326,564,-130,146,10,1446,1312,134,160029,83600,563.3333333,746.6666667,1151,876.75,67.83,60.46,834.4375,6.726757845,0.046923134,14400,84.6,79.7,63.3,16.4,5,43.6,5.9,66,62.2,1.2,672,296,1068,0.002389169,0.002402334,0.002902127,-2.1,0.4,0.4,6.902337474,0.023872468
2009,Kingston,359,114.4,988.9670746,Ontario,216,734,57,170,165,1548,1298,250,161564,68500,589.6666667,758.6666667,1083.25,896,64.5,69.15,831.8958333,6.723707233,-0.003050612,-15100,84.4,79.2,61.8,17.4,5.2,45.4,6.2,65,61,1.2,717,493,518,0.002902127,0.002913775,0.002243343,0,0.3,-1,6.896661039,-0.005676435
2010,Kingston,436,116.5,1032.646638,Ontario,245,775,-9,186,97,1536,1390,146,163013,63900,612,785.3333333,1184.5,956.5,62.18,54.46,884.5833333,6.785116724,0.061409492,-4600,81.7,76.5,58.6,17.9,5.2,49.3,6.4,62.4,58.4,1.1,653,248,895,0.002243343,0.002260008,0.002698621,-0.1,0.2,-2.6,6.939880337,0.043219298
2011,Kingston,381,119.9,1026.923825,Ontario,303,700,-52,8,87,1573,1397,176,164287,72700,615.3333333,804.3333333,1214.25,987.5,59.29,48.44,905.3541667,6.808326212,0.023209487,8800,84.8,79.2,62,17.2,5.6,47.3,6.6,64.2,60,1,959,604,608,0.002698621,0.002724506,0.002337237,-0.1,0.2,1.8,6.934323035,-0.005557302
2012,Kingston,348,121.7,1039.672692,Ontario,143,1129,135,-1357,-23,1552,1378,174,164353,67200,659,849.6666667,1195.75,1017,58.29,53.51,930.3541667,6.835565338,0.027239126,-5500,85.5,79.6,62.6,17,5.9,46.9,6.9,64.6,60.1,1.3,896,697,802,0.002337237,0.002358199,0.002118244,0.3,0.3,0.4,6.946661224,0.012338189
2013,Kingston,332,122.8,1086.080347,Ontario,255,700,-33,-1344,-190,1475,1442,33,163807,72600,677,864.6666667,1366,1015,55.15,49.02,980.6666667,6.888232612,0.052667274,5400,86.3,81,62,19,5.3,46,6.1,65.2,61.2,2.2,856,742,810,0.002118244,0.002134799,0.002020042,0.9,-0.8,0.6,6.990330483,0.043669259
2014,Kingston,366,125.2,1073.453142,Ontario,274,1089,98,-1325,12,1550,1388,162,164019,70500,666.3333333,896.6666667,1318.5,1071.333333,56.3,45.55,988.2083333,6.895893539,0.007660927,-2100,84.7,78.8,61.4,17.4,5.9,47.8,7,63.9,59.5,1.9,672,599,810,0.002020042,0.002020854,0.002234337,-0.3,0.9,-1.3,6.978635966,-0.011694516
2015,Kingston,358,126.6,1092.041864,Ontario,292,1019,148,-1331,289,1532,1486,46,164334,84000,681,920,1367.25,1098,57.65,55.61,1016.5625,6.924182117,0.028288577,13500,85.6,80.1,60.9,19.1,5.5,47.2,6.4,64.5,60.3,2.9,655,592,644,0.002234337,0.002226914,0.002182674,1,-0.6,0.6,6.995804493,0.017168526
2016,Kingston,421,128.4,1169.676791,Ontario,348,1277,925,-1092,1003,1523,1389,134,166004,79400,695.6666667,948.3333333,1650.25,1123,56.46,41.27,1104.3125,7.006978248,0.082796132,-4600,85.6,80.6,63.3,17.2,5,48.6,5.8,63.8,60.1,2.6,412,377,629,0.002182674,0.002185499,0.002561856,-0.3,-0.6,-0.7,7.064482743,0.06867825
2017,Kingston,355,130.4,1151.910787,Ontario,479,1553,1378,NA,1424,1483,1456,27,169487,82500,730,984.6666667,1600,1103.25,62.28,62.9,1104.479167,7.00712916,0.000150912,3100,89.7,84.8,66.7,18.1,4.9,46.4,5.5,65.9,62.3,0.8,692,645,433,0.002561856,0.002566776,0.002138503,-1.8,-0.3,2.1,7.049177397,-0.015305346
2018,Kingston,500,133.4,1203.763118,Ontario,414,1311,1323,NA,1562,1448,1520,-72,172702,80500,745.6666667,1015.333333,1798.25,1163.75,70.32,72.85,1180.75,7.073905109,0.066775948,-2000,88.2,83.2,64.3,18.9,5,49.7,5.7,64,60.3,0.5,910,912,641,0.002138503,0.002160235,0.002950079,-0.3,0.2,-1.9,7.093207861,0.044030464
2019,Kingston,446,136,1229.916667,Ontario,282,1007,693,NA,850,1467,1585,-118,174723,75500,820,1107.333333,1697,1295.333333,68.2,67.76,1229.916667,7.114701695,0.040796587,-5000,88.8,83.9,65.8,18.2,4.9,50.9,5.5,63.5,60,1.6,1256,1215,941,0.002950079,0.003011976,0.002582483,1.1,-0.2,-0.5,7.114701695,0.021493834
2020,Kingston,418,137,1266.127737,Ontario,263,1011,182,NA,434,1431,1686,-255,176176,NA,864,1148,1755.75,1334,70.51,74.25,1275.4375,7.151044536,0.036342841,NA,87.6,80.1,63,17,7.5,54.6,8.6,61.6,56.3,2.9,1041,1395,859,0.002582483,0.00263147,0.002392358,1.3,3.1,-1.9,7.143718496,0.029016801
2021,Kingston,388,141.6,1354.737524,Ontario,32,1424,-833,NA,-586,1441,1749,-308,176738,NA,909.6666667,1180.666667,2147.75,1404,70.54,77.22,1410.520833,7.251714301,0.100669765,NA,87.9,81.3,64.2,17.1,6.6,56.7,7.5,60.8,56.2,1.1,1371,2191,575,0.002392358,0.002420354,0.002202343,-1.8,-1.1,-0.8,7.211363005,0.067644509
